#,Country,GDP (PPP),GDP (nominal),vs. World PPP
,,per capita,per capita,GDP per capita
77,Botswana,"$17,024","$7,894",100%
89,Lebanon,"$14,513","$7,857",85%
68,Montenegro,"$19,355","$7,720",113%
72,Gabon,"$18,113","$7,271",106%
81,Dominican Republic,"$16,064","$7,223",94%
101,St. Vincent & Grenadines,"$11,769","$7,150",69%
106,Dominica,"$10,037","$6,951",59%
93,Peru,"$13,463","$6,723",79%
73,Turkmenistan,"$18,031","$6,587",105%
74,Thailand,"$17,910","$6,579",105%
90,Colombia,"$14,503","$6,429",85%
102,Ecuador,"$11,612","$6,214",68%
92,South Africa,"$13,526","$6,120",79%
67,Libya,"$19,673","$5,791",115%
94,Paraguay,"$13,109","$5,776",77%
108,Fiji,"$9,575","$5,768",56%
69,Belarus,"$18,896","$5,762",111%
65,Iran,"$20,885","$5,628",122%
105,Namibia,"$10,471","$5,516",61%
85,North Macedonia,"$15,290","$5,418",89%
95,Bosnia and Herzegovina,"$13,108","$5,387",77%
86,Suriname,"$15,191","$5,251",89%
78,Iraq,"$16,935","$5,114",99%
111,Jamaica,"$9,066","$5,061",53%
114,Belize,"$8,525","$4,957",50%
83,Serbia,"$15,432","$4,692",90%
117,Guyana,"$8,180","$4,671",48%
97,Albania,"$12,943","$4,521",76%
118,Guatemala,"$8,168","$4,471",48%
128,Samoa,"$6,641","$4,305",39%
130,Tonga,"$5,969","$4,193",35%
75,Azerbaijan,"$17,450","$4,139",102%
98,Sri Lanka,"$12,863","$4,135",75%
127,Angola,"$6,658","$4,096",39%
110,Jordan,"$9,173","$4,095",54%
84,Algeria,"$15,293","$4,048",89%
113,Eswatini,"$8,659","$3,942",51%
107,Armenia,"$9,668","$3,918",57%
119,El Salvador,"$8,023","$3,883",47%
99,Indonesia,"$12,310","$3,837",72%
104,Georgia,"$10,674","$3,762",62%
96,Mongolia,"$12,946","$3,672",76%
140,Marshall Islands,"$4,247","$3,517",25%
100,Tunisia,"$11,936","$3,494",70%
146,Tuvalu,"$3,933","$3,494",23%
109,Bhutan,"$9,392","$3,391",55%
120,Bolivia,"$7,576","$3,351",44%
124,Cabo Verde,"$6,913","$3,298",40%
116,Morocco,"$8,225","$3,083",48%
138,State of Palestine,"$4,896","$3,054",29%
154,Vanuatu,"$3,215","$3,022",19%
115,Philippines,"$8,361","$2,982",49%
137,Sudan,"$4,914","$2,879",29%
112,Ukraine,"$8,699","$2,521",51%
103,Egypt,"$11,608","$2,441",68%
136,Honduras,"$4,997","$2,437",29%
141,Papua New Guinea,"$4,208","$2,434",25%
123,Laos,"$7,038","$2,424",41%
121,Timor-Leste,"$7,228","$2,377",42%
126,Vietnam,"$6,790","$2,366",40%
132,Nicaragua,"$5,855","$2,164",34%
162,Solomon Islands,"$2,427","$2,049",14%
139,Ghana,"$4,502","$2,026",26%
133,Moldova,"$5,711","$2,002",33%
122,India,"$7,166","$1,980",42%
131,Nigeria,"$5,887","$1,969",34%
152,Sao Tome & Principe,"$3,359","$1,896",20%
135,Congo,"$5,454","$1,703",32%
166,Kiribati,"$2,185","$1,626",13%
153,Kenya,"$3,292","$1,578",19%
147,Bangladesh,"$3,877","$1,564",23%
125,Uzbekistan,"$6,880","$1,554",40%
161,Zimbabwe,"$2,434","$1,548",14%
142,Zambia,"$4,033","$1,535",24%
145,Côte d'Ivoire,"$3,945","$1,529",23%
134,Pakistan,"$5,539","$1,467",32%
149,Cameroon,"$3,722","$1,422",22%
143,Cambodia,"$4,018","$1,384",23%
151,Senegal,"$3,458","$1,366",20%
158,Comoros,"$2,751","$1,312",16%
129,Myanmar,"$6,174","$1,256",36%
157,Lesotho,"$2,932","$1,233",17%
148,Kyrgyzstan,"$3,735","$1,222",22%
144,Mauritania,"$3,958","$1,173",23%
160,Yemen,"$2,606","$1,123",15%
156,Tanzania,"$2,948",$975,17%
159,Nepal,"$2,702",$900,16%
164,Guinea,"$2,247",$868,13%
165,Mali,"$2,218",$828,13%
163,Benin,"$2,276",$827,13%
155,Tajikistan,"$3,202",$805,19%
173,Haiti,"$1,819",$766,11%
167,Rwanda,"$2,043",$762,12%
170,Ethiopia,"$1,903",$757,11%
174,Guinea-Bissau,"$1,704",$737,10%
179,Liberia,"$1,285",$699,8%
175,Gambia,"$1,699",$673,10%
169,Chad,"$1,945",$657,11%
172,Burkina Faso,"$1,866",$642,11%
150,Micronesia,"$3,701",$631,22%
171,Uganda,"$1,868",$631,11%
176,Togo,"$1,663",$618,10%
168,Afghanistan,"$1,976",$538,12%
178,Sierra Leone,"$1,530",$504,9%
183,DR Congo,$889,$462,5%
177,Madagascar,"$1,558",$450,9%
180,Mozambique,"$1,250",$441,7%
185,Central African Republic,$727,$424,4%
182,Niger,"$1,019",$376,6%
181,Malawi,"$1,205",$357,7%
184,Burundi,$735,$293,4%
