Convert From	Convert To	Exchange Rate	More Info
US Dollar (USD)	Moldovan Leu (MDL)	1 USD to MDL = 17.1713	USD MDL on 01/12/2018
US Dollar (USD)	Macedonian Denar (MKD)	1 USD to MKD = 54.5456	USD MKD on 01/12/2018
US Dollar (USD)	Mongolian Tugrik (MNT)	1 USD to MNT = 2504.5683	USD MNT on 01/12/2018
US Dollar (USD)	Macau Pataca (MOP)	1 USD to MOP = 8.0957	USD MOP on 01/12/2018
US Dollar (USD)	Mauritius Rupee (MUR)	1 USD to MUR = 34.5026	USD MUR on 01/12/2018
US Dollar (USD)	Maldives Rufiyaa (MVR)	1 USD to MVR = 15.4495	USD MVR on 01/12/2018
US Dollar (USD)	Malawi Kwacha (MWK)	1 USD to MWK = 727.2316	USD MWK on 01/12/2018
US Dollar (USD)	Mexican Peso (MXN)	1 USD to MXN = 20.3997	USD MXN on 01/12/2018
US Dollar (USD)	Malaysian Ringgit (MYR)	1 USD to MYR = 4.1797	USD MYR on 01/12/2018
US Dollar (USD)	Namibian Dollar (NAD)	1 USD to NAD = 13.8099	USD NAD on 01/12/2018
US Dollar (USD)	Nigerian Naira (NGN)	1 USD to NGN = 365.7219	USD NGN on 01/12/2018
US Dollar (USD)	Nicaragua Cordoba (NIO)	1 USD to NIO = 32.4628	USD NIO on 01/12/2018
US Dollar (USD)	Norwegian Krone (NOK)	1 USD to NOK = 8.5922	USD NOK on 01/12/2018
US Dollar (USD)	Nepalese Rupee (NPR)	1 USD to NPR = 111.9206	USD NPR on 01/12/2018
US Dollar (USD)	New Zealand Dollar (NZD)	1 USD to NZD = 1.4542	USD NZD on 01/12/2018
US Dollar (USD)	Omani Rial (OMR)	1 USD to OMR = 0.3851	USD OMR on 01/12/2018
US Dollar (USD)	Panamanian Balboa (PAB)	1 USD to PAB = 1	USD PAB on 01/12/2018
US Dollar (USD)	Peruvian Nuevo Sol (PEN)	1 USD to PEN = 3.3834	USD PEN on 01/12/2018
US Dollar (USD)	Papua New Guinea Kina (PGK)	1 USD to PGK = 3.3856	USD PGK on 01/12/2018
US Dollar (USD)	Philippine Peso (PHP)	1 USD to PHP = 52.411	USD PHP on 01/12/2018
US Dollar (USD)	Pakistani Rupee (PKR)	1 USD to PKR = 134.1847	USD PKR on 01/12/2018
US Dollar (USD)	Polish Zloty (PLN)	1 USD to PLN = 3.7887	USD PLN on 01/12/2018
US Dollar (USD)	Paraguayan Guarani (PYG)	1 USD to PYG = 5944.5919	USD PYG on 01/12/2018
US Dollar (USD)	Qatari Riyal (QAR)	1 USD to QAR = 3.6409	USD QAR on 01/12/2018
US Dollar (USD)	Romanian Leu (RON)	1 USD to RON = 4.1121	USD RON on 01/12/2018
US Dollar (USD)	Russian Rouble (RUB)	1 USD to RUB = 67.0545	USD RUB on 01/12/2018
US Dollar (USD)	Rwanda Franc (RWF)	1 USD to RWF = 891.0697	USD RWF on 01/12/2018
US Dollar (USD)	Saudi Riyal (SAR)	1 USD to SAR = 3.752	USD SAR on 01/12/2018
US Dollar (USD)	Solomon Islands Dollar (SBD)	1 USD to SBD = 7.9864	USD SBD on 01/12/2018
US Dollar (USD)	Seychelles Rupee (SCR)	1 USD to SCR = 13.6411	USD SCR on 01/12/2018
US Dollar (USD)	Swedish Krona (SEK)	1 USD to SEK = 9.109	USD SEK on 01/12/2018
US Dollar (USD)	Singapore Dollar (SGD)	1 USD to SGD = 1.3718	USD SGD on 01/12/2018
US Dollar (USD)	Sierra Leone Leone (SLL)	1 USD to SLL = 8389.6707	USD SLL on 01/12/2018
US Dollar (USD)	El Salvador Colon (SVC)	1 USD to SVC = 8.7525	USD SVC on 01/12/2018
US Dollar (USD)	Swaziland Lilageni (SZL)	1 USD to SZL = 13.8099	USD SZL on 01/12/2018
US Dollar (USD)	Thai Baht (THB)	1 USD to THB = 32.9627	USD THB on 01/12/2018
US Dollar (USD)	Tunisian Dinar (TND)	1 USD to TND = 2.9221	USD TND on 01/12/2018
US Dollar (USD)	Tonga Paanga (TOP)	1 USD to TOP = 2.2903	USD TOP on 01/12/2018
US Dollar (USD)	Turkish Lira (TRY)	1 USD to TRY = 5.2118	USD TRY on 01/12/2018
US Dollar (USD)	Trinidad Tobago Dollar (TTD)	1 USD to TTD = 6.7419	USD TTD on 01/12/2018
US Dollar (USD)	Taiwan Dollar (TWD)	1 USD to TWD = 30.8448	USD TWD on 01/12/2018
US Dollar (USD)	Tanzanian Shilling (TZS)	1 USD to TZS = 2300.1097	USD TZS on 01/12/2018
